turbine_id,component_id,component_type,site,observed_age_years,failed
WT-0048,WT-0048-GB,Gearbox,North Sea,9.388,1
WT-0048,WT-0048-GEN,Generator,North Sea,3.904,1
WT-0049,WT-0049-MB,Main bearing,North Sea,10.072,0
WT-0049,WT-0049-GB,Gearbox,North Sea,10.072,0
WT-0049,WT-0049-GEN,Generator,North Sea,10.072,0
WT-0050,WT-0050-MB,Main bearing,North Sea,9.117,0
WT-0050,WT-0050-GB,Gearbox,North Sea,8.010,1
WT-0050,WT-0050-GEN,Generator,North Sea,9.117,0
WT-0051,WT-0051-MB,Main bearing,Onshore North,9.857,0
WT-0051,WT-0051-GB,Gearbox,Onshore North,6.584,1
WT-0051,WT-0051-GEN,Generator,Onshore North,9.857,0
WT-0052,WT-0052-MB,Main bearing,North Sea,7.497,0
WT-0052,WT-0052-GB,Gearbox,North Sea,4.884,1
WT-0052,WT-0052-GEN,Generator,North Sea,4.499,1
WT-0053,WT-0053-MB,Main bearing,Baltic,4.250,0
WT-0053,WT-0053-GB,Gearbox,Baltic,4.250,0
WT-0053,WT-0053-GEN,Generator,Baltic,4.250,0
WT-0054,WT-0054-MB,Main bearing,North Sea,3.823,0
WT-0054,WT-0054-GB,Gearbox,North Sea,3.823,0
WT-0054,WT-0054-GEN,Generator,North Sea,3.823,0
WT-0055,WT-0055-MB,Main bearing,Baltic,3.542,1
WT-0055,WT-0055-GB,Gearbox,Baltic,4.111,0
WT-0055,WT-0055-GEN,Generator,Baltic,4.111,0
WT-0056,WT-0056-MB,Main bearing,Baltic,6.614,1
WT-0056,WT-0056-GB,Gearbox,Baltic,8.334,0
WT-0056,WT-0056-GEN,Generator,Baltic,6.416,1
WT-0057,WT-0057-MB,Main bearing,North Sea,11.055,1
WT-0057,WT-0057-GB,Gearbox,North Sea,2.524,1
WT-0057,WT-0057-GEN,Generator,North Sea,11.647,0
WT-0058,WT-0058-MB,Main bearing,North Sea,5.765,0
WT-0058,WT-0058-GB,Gearbox,North Sea,5.765,0
WT-0058,WT-0058-GEN,Generator,North Sea,5.765,0
WT-0059,WT-0059-MB,Main bearing,Baltic,3.445,0
WT-0059,WT-0059-GB,Gearbox,Baltic,3.445,0
WT-0059,WT-0059-GEN,Generator,Baltic,3.445,0
WT-0060,WT-0060-MB,Main bearing,North Sea,3.317,1
WT-0060,WT-0060-GB,Gearbox,North Sea,9.061,1
WT-0060,WT-0060-GEN,Generator,North Sea,6.179,1
WT-0061,WT-0061-MB,Main bearing,North Sea,10.164,1
WT-0061,WT-0061-GB,Gearbox,North Sea,2.738,1
WT-0061,WT-0061-GEN,Generator,North Sea,10.739,0
WT-0062,WT-0062-MB,Main bearing,North Sea,5.145,0
WT-0062,WT-0062-GB,Gearbox,North Sea,4.268,1
WT-0062,WT-0062-GEN,Generator,North Sea,5.145,0
WT-0063,WT-0063-MB,Main bearing,Onshore North,7.405,1
WT-0063,WT-0063-GB,Gearbox,Onshore North,7.126,1
WT-0063,WT-0063-GEN,Generator,Onshore North,9.836,0
WT-0064,WT-0064-MB,Main bearing,North Sea,3.557,0
WT-0064,WT-0064-GB,Gearbox,North Sea,3.557,0
WT-0064,WT-0064-GEN,Generator,North Sea,3.557,0
WT-0065,WT-0065-MB,Main bearing,North Sea,6.457,0
WT-0065,WT-0065-GB,Gearbox,North Sea,6.457,0
WT-0065,WT-0065-GEN,Generator,North Sea,6.106,1
WT-0066,WT-0066-MB,Main bearing,Onshore North,9.749,1
WT-0066,WT-0066-GB,Gearbox,Onshore North,8.238,1
WT-0066,WT-0066-GEN,Generator,Onshore North,11.554,0
WT-0067,WT-0067-MB,Main bearing,Baltic,4.858,0
WT-0067,WT-0067-GB,Gearbox,Baltic,4.858,0
WT-0067,WT-0067-GEN,Generator,Baltic,3.380,1
WT-0068,WT-0068-MB,Main bearing,North Sea,9.377,0
WT-0068,WT-0068-GB,Gearbox,North Sea,8.204,1
WT-0068,WT-0068-GEN,Generator,North Sea,9.377,0
WT-0069,WT-0069-MB,Main bearing,Baltic,3.872,1
WT-0069,WT-0069-GB,Gearbox,Baltic,3.907,1
WT-0069,WT-0069-GEN,Generator,Baltic,7.425,1
WT-0070,WT-0070-MB,Main bearing,Baltic,5.064,1
WT-0070,WT-0070-GB,Gearbox,Baltic,2.318,1
WT-0070,WT-0070-GEN,Generator,Baltic,2.154,1
WT-0071,WT-0071-MB,Main bearing,Onshore North,6.198,0
WT-0071,WT-0071-GB,Gearbox,Onshore North,6.198,0
WT-0071,WT-0071-GEN,Generator,Onshore North,6.198,0
WT-0072,WT-0072-MB,Main bearing,Baltic,7.896,0
WT-0072,WT-0072-GB,Gearbox,Baltic,5.067,1
WT-0072,WT-0072-GEN,Generator,Baltic,7.896,0
WT-0073,WT-0073-MB,Main bearing,North Sea,4.881,1
WT-0073,WT-0073-GB,Gearbox,North Sea,6.812,1
WT-0073,WT-0073-GEN,Generator,North Sea,6.040,1
WT-0074,WT-0074-MB,Main bearing,Onshore North,6.737,0
WT-0074,WT-0074-GB,Gearbox,Onshore North,6.737,0
WT-0074,WT-0074-GEN,Generator,Onshore North,6.737,0
WT-0075,WT-0075-MB,Main bearing,Onshore North,5.530,0
WT-0075,WT-0075-GB,Gearbox,Onshore North,5.530,0
WT-0075,WT-0075-GEN,Generator,Onshore North,5.530,0
WT-0076,WT-0076-MB,Main bearing,North Sea,6.025,1
WT-0076,WT-0076-GB,Gearbox,North Sea,7.920,0
WT-0076,WT-0076-GEN,Generator,North Sea,7.020,1
WT-0077,WT-0077-MB,Main bearing,North Sea,9.363,0
WT-0077,WT-0077-GB,Gearbox,North Sea,9.363,0
WT-0077,WT-0077-GEN,Generator,North Sea,9.363,0
WT-0078,WT-0078-MB,Main bearing,Baltic,4.578,0
WT-0078,WT-0078-GB,Gearbox,Baltic,4.578,0
WT-0078,WT-0078-GEN,Generator,Baltic,4.578,0
WT-0079,WT-0079-MB,Main bearing,Onshore North,9.991,1
WT-0079,WT-0079-GB,Gearbox,Onshore North,5.350,1
WT-0079,WT-0079-GEN,Generator,Onshore North,10.407,1
WT-0080,WT-0080-MB,Main bearing,North Sea,2.516,1
WT-0080,WT-0080-GB,Gearbox,North Sea,4.347,0
WT-0080,WT-0080-GEN,Generator,North Sea,4.347,0
WT-0081,WT-0081-MB,Main bearing,Onshore North,7.298,0
WT-0081,WT-0081-GB,Gearbox,Onshore North,7.298,0
WT-0081,WT-0081-GEN,Generator,Onshore North,3.933,1
WT-0082,WT-0082-MB,Main bearing,North Sea,8.005,0
WT-0082,WT-0082-GB,Gearbox,North Sea,8.005,0
WT-0082,WT-0082-GEN,Generator,North Sea,6.903,1
WT-0083,WT-0083-MB,Main bearing,Baltic,5.789,1
WT-0083,WT-0083-GB,Gearbox,Baltic,9.652,1
WT-0083,WT-0083-GEN,Generator,Baltic,5.321,1
WT-0084,WT-0084-MB,Main bearing,Onshore North,5.708,0
WT-0084,WT-0084-GB,Gearbox,Onshore North,5.298,1
WT-0084,WT-0084-GEN,Generator,Onshore North,5.708,0
WT-0085,WT-0085-MB,Main bearing,Onshore North,5.675,0
WT-0085,WT-0085-GB,Gearbox,Onshore North,5.675,0
WT-0085,WT-0085-GEN,Generator,Onshore North,2.957,1
WT-0086,WT-0086-MB,Main bearing,North Sea,8.229,1
WT-0086,WT-0086-GB,Gearbox,North Sea,6.674,1
WT-0086,WT-0086-GEN,Generator,North Sea,10.922,0
WT-0087,WT-0087-MB,Main bearing,Baltic,3.911,1
WT-0087,WT-0087-GB,Gearbox,Baltic,6.393,1
WT-0087,WT-0087-GEN,Generator,Baltic,8.822,1
WT-0088,WT-0088-MB,Main bearing,North Sea,5.951,1
WT-0088,WT-0088-GB,Gearbox,North Sea,11.091,0
WT-0088,WT-0088-GEN,Generator,North Sea,6.956,1
WT-0089,WT-0089-MB,Main bearing,Baltic,2.845,1
WT-0089,WT-0089-GB,Gearbox,Baltic,3.923,0
WT-0089,WT-0089-GEN,Generator,Baltic,3.923,0
WT-0090,WT-0090-MB,Main bearing,Onshore North,9.516,0
WT-0090,WT-0090-GB,Gearbox,Onshore North,6.309,1
WT-0090,WT-0090-GEN,Generator,Onshore North,5.728,1
WT-0091,WT-0091-MB,Main bearing,North Sea,5.965,0
WT-0091,WT-0091-GB,Gearbox,North Sea,5.965,0
WT-0091,WT-0091-GEN,Generator,North Sea,4.686,1
WT-0092,WT-0092-MB,Main bearing,North Sea,8.019,0
WT-0092,WT-0092-GB,Gearbox,North Sea,5.755,1
WT-0092,WT-0092-GEN,Generator,North Sea,2.798,1
WT-0093,WT-0093-MB,Main bearing,Onshore North,3.596,0
WT-0093,WT-0093-GB,Gearbox,Onshore North,3.596,0
WT-0093,WT-0093-GEN,Generator,Onshore North,3.596,0
WT-0094,WT-0094-MB,Main bearing,Onshore North,5.263,0
WT-0094,WT-0094-GB,Gearbox,Onshore North,3.714,1
WT-0094,WT-0094-GEN,Generator,Onshore North,5.263,0
WT-0095,WT-0095-MB,Main bearing,Baltic,7.573,1
WT-0095,WT-0095-GB,Gearbox,Baltic,4.502,1
WT-0095,WT-0095-GEN,Generator,Baltic,9.191,0
WT-0096,WT-0096-MB,Main bearing,Baltic,11.133,0
WT-0096,WT-0096-GB,Gearbox,Baltic,5.510,1
WT-0096,WT-0096-GEN,Generator,Baltic,3.302,1
WT-0097,WT-0097-MB,Main bearing,Baltic,10.730,0
WT-0097,WT-0097-GB,Gearbox,Baltic,7.985,1
WT-0097,WT-0097-GEN,Generator,Baltic,10.236,1
WT-0098,WT-0098-MB,Main bearing,Baltic,9.979,0
WT-0098,WT-0098-GB,Gearbox,Baltic,9.511,1
WT-0098,WT-0098-GEN,Generator,Baltic,9.979,0
WT-0099,WT-0099-MB,Main bearing,Baltic,7.077,0
WT-0099,WT-0099-GB,Gearbox,Baltic,6.047,1
WT-0099,WT-0099-GEN,Generator,Baltic,7.077,0
WT-0100,WT-0100-MB,Main bearing,North Sea,7.959,1
WT-0100,WT-0100-GB,Gearbox,North Sea,5.767,1
WT-0100,WT-0100-GEN,Generator,North Sea,7.708,1
WT-0101,WT-0101-MB,Main bearing,Baltic,7.954,0
WT-0101,WT-0101-GB,Gearbox,Baltic,5.937,1
WT-0101,WT-0101-GEN,Generator,Baltic,7.954,0
WT-0102,WT-0102-MB,Main bearing,North Sea,6.908,1
WT-0102,WT-0102-GB,Gearbox,North Sea,7.024,1
WT-0102,WT-0102-GEN,Generator,North Sea,4.334,1
WT-0103,WT-0103-MB,Main bearing,North Sea,8.692,0
WT-0103,WT-0103-GB,Gearbox,North Sea,4.147,1
WT-0103,WT-0103-GEN,Generator,North Sea,8.692,0
WT-0104,WT-0104-MB,Main bearing,Onshore North,7.032,1
WT-0104,WT-0104-GB,Gearbox,Onshore North,7.875,1
WT-0104,WT-0104-GEN,Generator,Onshore North,7.735,1
WT-0105,WT-0105-MB,Main bearing,Onshore North,5.311,1
WT-0105,WT-0105-GB,Gearbox,Onshore North,7.684,1
WT-0105,WT-0105-GEN,Generator,Onshore North,7.847,0
WT-0106,WT-0106-MB,Main bearing,North Sea,3.663,1
WT-0106,WT-0106-GB,Gearbox,North Sea,8.809,0
WT-0106,WT-0106-GEN,Generator,North Sea,4.037,1
WT-0107,WT-0107-MB,Main bearing,Onshore North,5.367,1
WT-0107,WT-0107-GB,Gearbox,Onshore North,10.365,1
WT-0107,WT-0107-GEN,Generator,Onshore North,5.638,1
WT-0108,WT-0108-MB,Main bearing,Onshore North,3.909,1
WT-0108,WT-0108-GB,Gearbox,Onshore North,5.043,0
WT-0108,WT-0108-GEN,Generator,Onshore North,5.043,0
WT-0109,WT-0109-MB,Main bearing,Baltic,4.316,0
WT-0109,WT-0109-GB,Gearbox,Baltic,3.710,1
WT-0109,WT-0109-GEN,Generator,Baltic,4.316,0
WT-0110,WT-0110-MB,Main bearing,Onshore North,11.208,0
WT-0110,WT-0110-GB,Gearbox,Onshore North,5.555,1
WT-0110,WT-0110-GEN,Generator,Onshore North,11.208,0
WT-0111,WT-0111-MB,Main bearing,Baltic,8.535,0
WT-0111,WT-0111-GB,Gearbox,Baltic,8.535,0
WT-0111,WT-0111-GEN,Generator,Baltic,7.940,1
WT-0112,WT-0112-MB,Main bearing,Baltic,3.990,0
WT-0112,WT-0112-GB,Gearbox,Baltic,3.990,0
WT-0112,WT-0112-GEN,Generator,Baltic,3.990,0
WT-0113,WT-0113-MB,Main bearing,North Sea,10.012,0
WT-0113,WT-0113-GB,Gearbox,North Sea,3.259,1
WT-0113,WT-0113-GEN,Generator,North Sea,10.012,0
WT-0114,WT-0114-MB,Main bearing,Onshore North,7.336,0
WT-0114,WT-0114-GB,Gearbox,Onshore North,6.671,1
WT-0114,WT-0114-GEN,Generator,Onshore North,7.336,0
WT-0115,WT-0115-MB,Main bearing,Baltic,5.041,0
WT-0115,WT-0115-GB,Gearbox,Baltic,5.041,0
WT-0115,WT-0115-GEN,Generator,Baltic,5.041,0
WT-0116,WT-0116-MB,Main bearing,Onshore North,9.788,0
WT-0116,WT-0116-GB,Gearbox,Onshore North,7.029,1
WT-0116,WT-0116-GEN,Generator,Onshore North,8.823,1
WT-0117,WT-0117-MB,Main bearing,Baltic,5.556,1
WT-0117,WT-0117-GB,Gearbox,Baltic,4.177,1
WT-0117,WT-0117-GEN,Generator,Baltic,10.048,0
WT-0118,WT-0118-MB,Main bearing,North Sea,5.387,0
WT-0118,WT-0118-GB,Gearbox,North Sea,5.387,0
WT-0118,WT-0118-GEN,Generator,North Sea,5.387,0
WT-0119,WT-0119-MB,Main bearing,Onshore North,4.087,0
WT-0119,WT-0119-GB,Gearbox,Onshore North,3.951,1
WT-0119,WT-0119-GEN,Generator,Onshore North,4.087,0
WT-0120,WT-0120-MB,Main bearing,Baltic,7.513,0
WT-0120,WT-0120-GB,Gearbox,Baltic,6.923,1
WT-0120,WT-0120-GEN,Generator,Baltic,7.513,0
WT-0121,WT-0121-MB,Main bearing,Baltic,6.535,0
WT-0121,WT-0121-GB,Gearbox,Baltic,5.712,1
WT-0121,WT-0121-GEN,Generator,Baltic,6.535,0
WT-0122,WT-0122-MB,Main bearing,Baltic,6.084,0
WT-0122,WT-0122-GB,Gearbox,Baltic,6.084,0
WT-0122,WT-0122-GEN,Generator,Baltic,6.084,0
WT-0123,WT-0123-MB,Main bearing,Onshore North,8.297,1
WT-0123,WT-0123-GB,Gearbox,Onshore North,2.038,1
WT-0123,WT-0123-GEN,Generator,Onshore North,4.716,1
WT-0124,WT-0124-MB,Main bearing,Onshore North,5.263,0
WT-0124,WT-0124-GB,Gearbox,Onshore North,4.395,1
WT-0124,WT-0124-GEN,Generator,Onshore North,5.263,0
WT-0125,WT-0125-MB,Main bearing,North Sea,6.259,1
WT-0125,WT-0125-GB,Gearbox,North Sea,4.394,1
WT-0125,WT-0125-GEN,Generator,North Sea,6.697,0
WT-0126,WT-0126-MB,Main bearing,Baltic,5.761,0
WT-0126,WT-0126-GB,Gearbox,Baltic,5.761,0
WT-0126,WT-0126-GEN,Generator,Baltic,5.761,0
WT-0127,WT-0127-MB,Main bearing,Onshore North,7.053,0
WT-0127,WT-0127-GB,Gearbox,Onshore North,7.053,0
WT-0127,WT-0127-GEN,Generator,Onshore North,7.053,0
WT-0128,WT-0128-MB,Main bearing,Baltic,5.961,0
WT-0128,WT-0128-GB,Gearbox,Baltic,5.582,1
WT-0128,WT-0128-GEN,Generator,Baltic,5.961,0
WT-0129,WT-0129-MB,Main bearing,Baltic,4.390,1
WT-0129,WT-0129-GB,Gearbox,Baltic,6.024,1
WT-0129,WT-0129-GEN,Generator,Baltic,7.588,0
WT-0130,WT-0130-MB,Main bearing,North Sea,7.104,0
WT-0130,WT-0130-GB,Gearbox,North Sea,5.001,1
WT-0130,WT-0130-GEN,Generator,North Sea,7.104,0
WT-0131,WT-0131-MB,Main bearing,Baltic,5.008,1
WT-0131,WT-0131-GB,Gearbox,Baltic,5.948,0
WT-0131,WT-0131-GEN,Generator,Baltic,5.948,0
WT-0132,WT-0132-MB,Main bearing,Onshore North,10.245,1
WT-0132,WT-0132-GB,Gearbox,Onshore North,5.245,1
WT-0132,WT-0132-GEN,Generator,Onshore North,9.837,1
WT-0133,WT-0133-MB,Main bearing,North Sea,5.675,0
WT-0133,WT-0133-GB,Gearbox,North Sea,5.675,0
WT-0133,WT-0133-GEN,Generator,North Sea,5.675,0
WT-0134,WT-0134-MB,Main bearing,Baltic,4.563,1
WT-0134,WT-0134-GB,Gearbox,Baltic,9.825,1
WT-0134,WT-0134-GEN,Generator,Baltic,2.240,1
WT-0135,WT-0135-MB,Main bearing,Onshore North,5.555,0
WT-0135,WT-0135-GB,Gearbox,Onshore North,5.555,0
WT-0135,WT-0135-GEN,Generator,Onshore North,5.555,0
WT-0136,WT-0136-MB,Main bearing,Baltic,3.657,0
WT-0136,WT-0136-GB,Gearbox,Baltic,2.977,1
WT-0136,WT-0136-GEN,Generator,Baltic,3.657,0
WT-0137,WT-0137-MB,Main bearing,Onshore North,7.796,0
WT-0137,WT-0137-GB,Gearbox,Onshore North,7.468,1
WT-0137,WT-0137-GEN,Generator,Onshore North,4.620,1
WT-0138,WT-0138-MB,Main bearing,Onshore North,3.380,0
WT-0138,WT-0138-GB,Gearbox,Onshore North,3.380,0
WT-0138,WT-0138-GEN,Generator,Onshore North,3.380,0
WT-0139,WT-0139-MB,Main bearing,Onshore North,9.085,1
WT-0139,WT-0139-GB,Gearbox,Onshore North,7.287,1
WT-0139,WT-0139-GEN,Generator,Onshore North,8.278,1
WT-0140,WT-0140-MB,Main bearing,North Sea,6.030,0
WT-0140,WT-0140-GB,Gearbox,North Sea,5.301,1
WT-0140,WT-0140-GEN,Generator,North Sea,5.354,1
